Table 1
"Monthly supply and utilization, milk in all products, milk-equivalent skim-solids basis, ",,,,,,,,,,,
2011–current (millions of pounds),,,,,,,,,Back to content page.,,
,,,Farm milk supply,,,,,Utilization,,,
Year,Month,"Beginning stocks 
[A]",Production [B],"Farm use 
[C]","Marketings 
[D] 
= [B - C]","Imports 
[E]","Total supply 
[F] 
= [A + D + E]",Exports [G],Ending stocks [H],"Domestic disappearance 
[I] 
= [F - G - H]",
,Sep,"11,114","18,030",88,"17,942",422,"29,478","3,692","10,477","15,309",
,Oct,"10,477","18,609",91,"18,518",367,"29,362","4,267","10,167","14,928",
,Nov,"10,167","18,115",88,"18,027",436,"28,630","3,640","10,345","14,645",
,Dec,"10,345","18,970",91,"18,879",501,"29,725","3,658","10,877","15,190",
2021,Jan,"10,877","19,365",88,"19,277",450,"30,604","3,558","11,379","15,667",
,Feb,"11,379","17,685",80,"17,605",370,"29,354","3,881","11,877","13,596",
,Mar,"11,877","19,797",88,"19,709",563,"32,149","4,789","11,519","15,841",
,Apr,"11,519","19,350",86,"19,264",461,"31,244","4,723","11,279","15,242",
,May,"11,279","19,855",88,"19,767",498,"31,544","4,825","12,045","14,674",
,Jun,"12,045","18,942",86,"18,856",545,"31,446","4,494","11,972","14,980",
,Jul,"11,972","19,097",88,"19,009",509,"31,490","4,331","11,787","15,372",
,Aug,"11,787","18,721",88,"18,633",401,"30,821","4,407","11,408","15,006",
,Sep,"11,408","18,018",86,"17,932",491,"29,831","4,074","11,232","14,525",
,Oct,"11,232","18,623",88,"18,535",459,"30,226","4,081","10,627","15,518",
,Nov,"10,627","18,015",86,"17,929",556,"29,112","4,112","10,548","14,452",
,Dec,"10,548","18,790",88,"18,702",461,"29,711","3,479","11,059","15,173",
2022,Jan,"11,059","19,050",90,"18,960",500,"30,519","3,408","11,179","15,932",
,Feb,"11,179","17,540",82,"17,458",471,"29,108","3,797","11,694","13,617",
,Mar,"11,694","19,715",90,"19,625",538,"31,857","4,635","11,825","15,397",
,Apr,"11,825","19,155",87,"19,068",524,"31,417","4,644","12,082","14,691",
,May,"12,082","19,763",90,"19,673",573,"32,328","4,999","12,503","14,826",
,Jun,"12,503","18,927",87,"18,840",514,"31,857","4,747","12,481","14,629",
,Jul,"12,481","19,195",90,"19,105",568,"32,154","4,504","12,911","14,739",
,Aug,"12,911","19,035",90,"18,945",531,"32,387","4,598","12,379","15,410",
,Sep,"12,379","18,269",87,"18,182",519,"31,080","4,428","11,865","14,787",
,Oct,"11,865","18,834",90,"18,744",606,"31,215","4,386","11,443","15,386",
,Nov,"11,443","18,250",87,"18,163",620,"30,226","4,360","11,522","14,344",
"Sources: USDA, Economic Research Service (ERS) calculations using USDA, National Agricultural Statistics Service; USDA, Foreign Agricultural Service; U.S. Department of Commerce, Bureau of the Census; and California Department of Food and Agriculture.",,,,,,,,,,,
"Numerous sources were used for conversion factors. For more information, see the section for this dataset on the USDA, ERS Dairy Data Documentation web page.  ",,,,,,,,,,,
Last update: 1/17/2023,,,,,,,,,,,
